,XIV,,,,SVXY,ZIV,SVXY + ZIV
2016-10-26,769282.638836,-2.625,XIV - 1.00,,764588.62154,322641.117532,451603.572580499
2016-10-27,756720.198836,-1.633,XIV - 1.00,,751505.115923,319474.010494,445646.697580499
2016-10-28,724355.598836,-4.277,GLD - 1.00,,719613.500923,315954.510494,434286.777580499
2016-10-31,726478.878836,0.293,GLD - 1.00,,721722.740923,316880.430494,435559.737580499
2016-11-01,731138.304734,0.641,GLD - 1.00,,726351.356782,318912.313066,438353.181116499
2016-11-02,736504.551146,0.734,GLD - 1.00,,731683.023346,321252.822778,441570.016976499
2016-11-03,740396.594734,0.528,GLD - 1.00,,735549.326778,322950.353066,443903.131116499
2016-11-04,740927.21115,0.072,GLD - 1.00,,736076.523346,323181.822778,444221.266976499
2016-11-07,727720.188838,-1.782,GLD - 1.00,,722954.62092,317420.550494,436302.877581499
2016-11-08,724712.191144,-0.413,GLD - 1.00,,719966.513343,316108.822778,434499.506973499
2016-11-09,724240.345246,-0.065,GLD - 1.00,,719497.787484,315903.060206,434216.623437499
2016-11-10,713564.977042,-1.474,GLD - 1.00,,708893.009202,311247.74535,427816.470509499
2016-11-11,697932.615244,-2.191,None - 0.00,,693363.997482,304429.290204,418446.063437499
2016-11-14,697932.615244,0,XIV - 1.00,,693363.997482,304429.290204,418446.063437499
2016-11-15,727626.615244,4.255,XIV - 1.00,,722685.497482,306488.910272,428057.193536499
2016-11-16,721972.855244,-0.777,XIV - 1.00,,718176.247482,306156.766915,426567.398502499
2016-11-17,744060.355244,3.059,XIV - 1.00,,738649.341406001,308880.396915,434239.858570499
2016-11-18,746533.315244,0.332,XIV - 1.00,,741895.299439,308614.696844,434934.978430499
2016-11-21,780094.915244,4.496,XIV - 1.00,,775344.641407001,314194.816844,448315.648465499
2016-11-22,774798.115244,-0.679,XIV - 1.00,,771199.139431,313331.350202,446528.788465499
2016-11-23,774091.835244,-0.091,XIV - 1.00,,769396.657456,311073.070202,444344.853428999
2016-11-25,778506.085244,0.57,XIV - 1.00,,774624.143378,310873.816844,445635.483500999
2016-11-28,772503.045244,-0.771,XIV - 1.00,,767684.554428,309346.130276,442582.613572999
2016-11-29,778506.765243999,0.777,XIV - 1.00,,772912.112454,310409.010276,444816.418536999
2016-11-30,776211.485244,-0.295,XIV - 1.00,,770839.201404,310409.010276,444245.548608999
2016-12-01,747607.145243999,-3.685,XIV - 1.00,,742268.00943,307552.976844,434243.113428999
2016-12-02,746723.945244,-0.118,XIV - 1.00,,742989.347463,306490.070272,433647.298533999
