Date,Equity,dayProfit%,dayProfit%,,
2009-09-09,536571.727638,2.7,XIV - 1.00 - false,,
2009-09-10,561643.247638,4.673,XIV - 1.00 - false,,
2009-09-11,555378.167638,-1.115,XIV - 1.00 - false,,
2009-09-14,567909.767638,2.256,XIV - 1.00 - false,,
2009-09-15,566343.667638,-0.276,XIV - 1.00 - false,,
2009-09-16,591401.907638,4.425,XIV - 1.00 - false,,
2009-09-17,588270.967638,-0.529,XIV - 1.00 - false,,
2009-09-18,574181.017638,-2.395,XIV - 1.00 - false,,
2009-09-21,574181.017638,0,XIV - 0.55 - false,,
2009-09-22,581071.177638,1.2,XIV - 1.00 - false,,
2009-09-23,576419.497638,-0.801,XIV - 1.00 - false,,
2009-09-24,565564.667638,-1.883,XIV - 1.00 - false,,
2009-09-25,564013.677638,-0.274,XIV - 1.00 - false,,
2009-09-28,584177.067638,3.575,XIV - 1.00 - false,,
2009-09-29,584177.067638,0,XIV - 1.00 - false,,
2009-09-30,577975.107638,-1.062,XIV - 1.00 - false,,
2009-10-01,551613.887638,-4.561,XIV - 0.55 - false,,
2009-10-02,551613.887638,0,XIV - 0.20 - false,,
2009-10-05,555026.967638,0.619,XIV - 0.20 - false,,
2009-10-06,557751.627638,0.491,XIV - 0.55 - false,,
2009-10-07,561017.147638,0.585,XIV - 1.00 - false,,
2009-10-08,566925.707638,1.053,XIV - 1.00 - false,,
2009-10-09,578741.627638,2.084,XIV - 1.00 - false,,
2009-10-12,593508.427638,2.552,XIV - 1.00 - false,,
2009-10-13,599413.667638,0.995,XIV - 1.00 - false,,
2009-10-14,603842.147637999,0.739,XIV - 1.00 - false,,
2009-10-15,618602.647638,2.444,XIV - 1.00 - false,,
2009-10-16,609748.447638,-1.431,XIV - 1.00 - false,,
2009-10-19,625983.457638,2.663,XIV - 1.00 - false,,
2009-10-20,628934.517638,0.471,XIV - 1.00 - false,,
2009-10-21,628934.517638,0,XIV - 1.00 - false,,
2009-10-22,651066.417638,3.519,XIV - 1.00 - false,,
2009-10-23,639266.817638,-1.812,XIV - 1.00 - false,,
2009-10-26,627464.977637999,-1.846,XIV - 1.00 - false,,
2009-10-27,624513.957638,-0.47,XIV - 1.00 - false,,
2009-10-28,581722.137638,-6.852,XIV - 1.00 - false,,
2009-10-29,612732.207638,5.331,None - 0.00 - false,,
2009-10-30,612732.207638,0,XIV - 1.00 - false,,
2009-11-02,607813.797638,-0.803,None - 0.00 - true,,
2009-11-03,622489.779332,2.415,None - 0.00 - true,,
2009-11-04,626231.853485,0.601,None - 0.00 - true,,
2009-11-05,625530.24272,-0.112,None - 0.00 - false,,
2009-11-06,625530.24272,0,XIV - 0.55 - false,,
2009-11-09,646068.962719999,3.283,XIV - 1.00 - false,,
