Date,Equity,dayProfit%,,,,
2010-10-14,1529900.426403,-2.959,XIV - 1.00 - false,,,
2010-10-15,1542462.276403,0.821,XIV - 1.00 - false,,,
2010-10-18,1592705.476403,3.257,XIV - 1.00 - false,,,
2010-10-19,1553241.216403,-2.478,XIV - 1.00 - false,,,
2010-10-20,1633984.266403,5.198,XIV - 1.00 - false,,,
2010-10-21,1677025.626403,2.634,XIV - 1.00 - false,,,
2010-10-22,1741571.106403,3.849,XIV - 1.00 - false,,,
2010-10-25,1754116.926403,0.72,XIV - 1.00 - false,,,
2010-10-26,1721858.586403,-1.839,XIV - 1.00 - false,,,
2010-10-27,1689594.126403,-1.874,XIV - 1.00 - false,,,
2010-10-28,1693179.746403,0.212,XIV - 1.00 - false,,,
2010-10-29,1694972.516403,0.106,XIV - 1.00 - false,,,
2010-11-01,1703936.266403,0.529,XIV - 1.00 - false,,,
2010-11-02,1743374.786403,2.315,XIV - 1.00 - false,,,
2010-11-03,1841948.536403,5.654,XIV - 1.00 - false,,,
2010-11-04,1956590.456403,6.224,XIV - 1.00 - false,,,
2010-11-05,1958380.676403,0.091,XIV - 1.00 - false,,,
2010-11-08,1945849.276403,-0.64,XIV - 1.00 - false,,,
2010-11-09,1936897.676403,-0.46,XIV - 1.00 - false,,,
2010-11-10,1956592.076403,1.017,XIV - 1.00 - false,,,
2010-11-11,1938689.876403,-0.915,XIV - 1.00 - false,,,
2010-11-12,1824104.916403,-5.91,XIV - 1.00 - false,,,
2010-11-15,1852769.396403,1.571,XIV - 1.00 - false,,,
2010-11-16,1772163.146403,-4.351,XIV - 1.00 - false,,,
2010-11-17,1811588.686403,2.225,XIV - 0.55 - false,,,
2010-11-18,1878597.246403,3.699,XIV - 0.55 - false,,,
2010-11-19,1891036.556403,0.662,XIV - 1.00 - false,,,
2010-11-22,1953325.196403,3.294,XIV - 1.00 - false,,,
2010-11-23,1865111.516403,-4.516,XIV - 1.00 - false,,,
2010-11-24,1944714.976403,4.268,XIV - 0.55 - false,,,
2010-11-26,1875263.506403,-3.571,XIV - 1.00 - false,,,
2010-11-29,1857412.506403,-0.952,XIV - 1.00 - false,,,
2010-11-30,1724766.945403,-7.141,XIV - 0.55 - false,,,
2010-12-01,1747368.125403,1.31,None - 0.00 - false,,,
2010-12-02,1747368.125403,0,XIV - 0.55 - false,,,
2010-12-03,1803200.885403,3.195,XIV - 0.55 - false,,,
2010-12-06,1821964.271403,1.041,XIV - 1.00 - false,,,
2010-12-07,1838956.495403,0.933,XIV - 1.00 - false,,,
2010-12-08,1870533.428403,1.717,XIV - 1.00 - false,,,
2010-12-09,1912361.810403,2.236,XIV - 1.00 - false,,,
2010-12-10,1928544.636403,0.846,XIV - 1.00 - false,,,
2010-12-13,1901468.639403,-1.404,XIV - 1.00 - false,,,
2010-12-14,1888809.995403,-0.666,XIV - 0.55 - false,,,
2010-12-15,1866423.705403,-1.185,XIV - 0.55 - false,,,
2010-12-16,1880045.142403,0.73,XIV - 0.55 - false,,,
2010-12-17,1902522.110403,1.196,XIV - 0.55 - false,,,
2010-12-20,1929940.285803,1.441,XIV - 1.00 - false,,,
2010-12-21,1961288.580803,1.624,XIV - 1.00 - false,,,
2010-12-22,1966326.148803,0.257,XIV - 1.00 - false,,,
2010-12-23,1903830.408803,-3.178,XIV - 1.00 - false,,,
2010-12-27,1853596.840803,-2.639,XIV - 1.00 - false,,,
2010-12-28,1835797.645803,-0.96,XIV - 0.55 - false,,,
2010-12-29,1856851.651803,1.147,XIV - 0.55 - false,,,
2010-12-30,1862602.127803,0.31,XIV - 1.00 - false,,,
2010-12-31,1879256.570803,0.894,XIV - 1.00 - false,,,
2011-01-03,1945557.080803,3.528,XIV - 0.55 - false,,,
2011-01-04,1924592.675803,-1.078,XIV - 0.55 - false,,,
2011-01-05,1964661.859803,2.082,XIV - 0.55 - false,,,
2011-01-06,1958463.575803,-0.315,XIV - 0.55 - false,,,
2011-01-07,1956931.181803,-0.078,XIV - 0.55 - false,,,
2011-01-10,1960168.363803,0.165,XIV - 0.55 - false,,,
2011-01-11,1991644.633803,1.606,XIV - 0.55 - false,,,
2011-01-12,2040006.169803,2.428,XIV - 0.55 - false,,,
2011-01-13,2049720.991803,0.476,XIV - 1.00 - false,,,
2011-01-14,2139030.693803,4.357,XIV - 1.00 - false,,,
2011-01-18,2205798.373803,3.121,XIV - 1.00 - false,,,
2011-01-19,2078412.778803,-5.775,XIV - 1.00 - false,,,
2011-01-20,2102414.819803,1.155,XIV - 0.55 - false,,,
2011-01-21,2091920.739803,-0.499,XIV - 0.20 - false,,,
2011-01-24,2100782.387803,0.424,XIV - 0.20 - false,,,
2011-01-25,2102813.402803,0.097,XIV - 0.55 - false,,,
2011-01-26,2146032.154803,2.055,XIV - 0.55 - false,,,
2011-01-27,2171248.282803,1.175,XIV - 0.55 - false,,,
2011-01-28,2068841.250803,-4.717,XIV - 0.55 - false,,,
2011-01-31,2070070.140803,0.059,None - 0.00 - true,,,
2011-02-01,2059820.664683,-0.495,None - 0.00 - true,,,
2011-02-02,2060276.958953,0.022,None - 0.00 - true,,,
2011-02-03,2043196.746373,-0.829,None - 0.00 - true,,,
2011-02-04,2022473.607743,-1.014,None - 0.00 - false,,,
2011-02-07,2022473.607743,0,XIV - 0.55 - false,,,
2011-02-08,2041809.310243,0.956,XIV - 0.20 - false,,,
2011-02-09,2038380.053243,-0.168,XIV - 0.55 - false,,,
2011-02-10,2039029.916243,0.032,XIV - 0.55 - false,,,
2011-02-11,2059675.684243,1.013,None - 0.00 - true,,,
2011-02-14,2061056.44024,0.067,None - 0.00 - false,,,
2011-02-15,2061056.44024,0,XIV - 0.20 - false,,,
2011-02-16,2055537.94624,-0.268,None - 0.00 - true,,,
2011-02-17,2058748.671994,0.156,None - 0.00 - true,,,
2011-02-18,2052328.711048,-0.312,None - 0.00 - true,,,
2011-02-22,2083058.799712,1.497,None - 0.00 - true,,,
2011-02-23,2090626.935046,0.363,None - 0.00 - true,,,
2011-02-24,2103928.268686,0.636,None - 0.00 - true,,,
2011-02-25,2116313.320741,0.589,None - 0.00 - true,,,
2011-02-28,2119063.683661,0.13,None - 0.00 - true,,,
2011-03-01,2125206.289663,0.29,None - 0.00 - true,,,
2011-03-02,2092535.958526,-1.537,None - 0.00 - true,,,
2011-03-03,2072059.694287,-0.979,None - 0.00 - true,,,
2011-03-04,2089315.985767,0.833,None - 0.00 - true,,,
2011-03-07,2075971.89508,-0.639,None - 0.00 - true,,,
2011-03-08,2063318.12782,-0.61,None - 0.00 - true,,,
2011-03-09,2083332.78709,0.97,None - 0.00 - true,,,
2011-03-10,2118304.269925,1.679,None - 0.00 - true,,,
2011-03-11,2106340.826092,-0.565,None - 0.00 - true,,,
2011-03-14,2105420.128027,-0.044,None - 0.00 - true,,,
2011-03-15,2136941.015038,1.497,None - 0.00 - true,,,
2011-03-16,2161097.228428,1.13,None - 0.00 - true,,,
2011-03-17,2144532.50251,-0.766,None - 0.00 - true,,,
2011-03-18,2150284.056811,0.268,None - 0.00 - true,,,
2011-03-21,2137630.510375,-0.588,None - 0.00 - true,,,
2011-03-22,2144762.683927,0.334,None - 0.00 - true,,,
2011-03-23,2142002.025088,-0.129,None - 0.00 - true,,,
2011-03-24,2125896.392266,-0.752,None - 0.00 - false,,,
2011-03-25,2125896.392266,0,XIV - 0.45 - false,,,
2011-03-28,2113953.068266,-0.562,XIV - 0.45 - false,,,
2011-03-29,2135828.186266,1.035,None - 0.00 - false,,,
2011-03-30,2135828.186266,0,XIV - 0.45 - false,,,
2011-03-31,2137805.087266,0.093,XIV - 0.45 - false,,,
2011-04-01,2146588.826266,0.411,XIV - 0.45 - false,,,
2011-04-04,2155937.774266,0.436,XIV - 0.45 - false,,,
2011-04-05,2171839.926266,0.738,XIV - 0.45 - false,,,
2011-04-06,2176313.717266,0.206,XIV - 0.45 - false,,,
2011-04-07,2168521.166266,-0.358,XIV - 0.45 - false,,,
2011-04-08,2150658.332266,-0.824,XIV - 1.00 - false,,,
2011-04-11,2172741.407266,1.027,XIV - 0.45 - false,,,
2011-04-12,2164494.939266,-0.38,XIV - 0.45 - false,,,
2011-04-13,2179368.543266,0.687,XIV - 0.45 - false,,,
2011-04-14,2187719.199266,0.383,XIV - 0.80 - false,,,
2011-04-15,2227041.009266,1.797,XIV - 1.00 - false,,,
2011-04-18,2173816.028266,-2.39,XIV - 1.00 - false,,,
2011-04-19,2283703.364266,5.055,XIV - 1.00 - false,,,
2011-04-20,2375750.468266,4.031,XIV - 1.00 - false,,,
2011-04-21,2444351.326266,2.888,XIV - 1.00 - false,,,
2011-04-25,2500934.694266,2.315,XIV - 1.00 - false,,,
2011-04-26,2555876.084266,2.197,XIV - 1.00 - false,,,
2011-04-27,2587412.438266,1.234,XIV - 1.00 - false,,,
2011-04-28,2623090.078266,1.379,XIV - 1.00 - false,,,
2011-04-29,2615393.090266,-0.293,XIV - 1.00 - false,,,
2011-05-02,2540344.922266,-2.869,XIV - 1.00 - false,,,
2011-05-03,2487040.442266,-2.098,XIV - 1.00 - false,,,
2011-05-04,2456531.842266,-1.227,XIV - 1.00 - false,,,
2011-05-05,2387656.507266,-2.804,XIV - 1.00 - false,,,
2011-05-06,2442624.609266,2.302,XIV - 0.45 - false,,,
2011-05-09,2475686.481266,1.354,XIV - 0.45 - false,,,
2011-05-10,2515092.248266,1.592,XIV - 1.00 - false,,,
2011-05-11,2469072.330266,-1.83,XIV - 1.00 - false,,,
2011-05-12,2492501.179666,0.949,XIV - 1.00 - false,,,
2011-05-13,2459641.112866,-1.318,XIV - 1.00 - false,,,
2011-05-16,2411466.288866,-1.959,XIV - 1.00 - false,,,
2011-05-17,2454789.228866,1.797,XIV - 0.45 - false,,,
2011-05-18,2483158.317866,1.156,XIV - 0.80 - false,,,
